id,name,description,unit_price,merchant_id,created_at,updated_at
543,Overstimulated Shiv,NO! This is Patrick!,83.87,20,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
544,Vain Steel sword,Once upon a time there was an ugly barnacle. He was so ugly that everyone died. The end!,87.49,2,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
545,Yearning Shortbow,I have no soul.,37.71,64,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
546,Confident Salmon nigiri,NO! This is Patrick!,47.72,70,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
547,Relaxed Blade of woe,I have no soul.,27.84,37,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
548,Inspiring Attic fan,I'm ugly and I'm proud!,94.18,5,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
549,Preoccupied Shortbow,I'm ready! I'm ready!,69.11,23,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
550,Numb Handaxe,Can I be excused for the rest of my life?,23.85,34,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
551,Serene Ancient nord sword,Is mayonnaise an instrument?,14.59,52,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
552,Wary Pappardelle alla bolognese,The best time to wear a striped sweater is all the time.,82.38,65,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
553,Willful Dish draining closet,"Two words, SpongeBob. Na. Chos.",90.58,70,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
554,Sincere Orcish war axe,"Goodbye everyone, I'll remember you all in therapy.",52.76,74,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
555,Tearful Hummus,Future!!!,88.05,80,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
556,Misunderstood Longbow,Is mayonnaise an instrument?,78.63,32,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
557,Tolerant Sump pump,NO! This is Patrick!,26.02,41,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
558,Marvelous Longbow,"Krusty Krab Pizza, it's the pizza for you and meeeeee!",70.62,83,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
559,Sanguine Crossbow,Did you smell it? That smell. A kind of smelly smell. The smelly smell that smells...smelly.,59.45,8,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
560,Prideful English pale ale,I'm ugly and I'm proud!,19.45,86,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
561,Secure Fruit beer,I knew I shouldn't have gotten out of bed today.,36.58,60,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
562,Useless Light lager,I can't see my forehead!,48.87,95,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
563,Weepy Crossbow,Can I be excused for the rest of my life?,63.69,90,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
564,Restless Boomerang,All I know is fine dining and breathing.,15.91,38,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
565,Manipulative Glass bow of the stag prince dr,"Krusty Krab Pizza, it's the pizza for you and meeeeee!",93.58,93,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
566,Hesitant Pasta and beans,Once upon a time there was an ugly barnacle. He was so ugly that everyone died. The end!,36.27,27,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
567,Whimsical Kebab,"Ravioli, ravioli. Give me the formuoli.",59.18,60,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
568,Jittery India pale ale,The best time to wear a striped sweater is all the time.,36.64,9,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
569,Doleful Smoke-flavored,All I know is fine dining and breathing.,69.01,48,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
570,Worried Whip,I knew I shouldn't have gotten out of bed today.,63.59,16,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
571,Humbled Shortbow,The inner machinations of my mind are an enigma.,67.27,84,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
572,Discouraged Salmon nigiri,The inner machinations of my mind are an enigma.,56.53,15,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
573,Jocular Sling,"Two words, SpongeBob. Na. Chos.",30.09,38,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
574,Fair Smoke-flavored,"Two words, SpongeBob. Na. Chos.",97.84,83,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
575,Obsessed Tiramisù,F is for friends who do stuff together!,24.73,57,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
576,Generous Hair iron,I'm ugly and I'm proud!,46.84,43,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
577,Victorious Massaman curry,Is mayonnaise an instrument?,98.98,5,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
578,Nasty French toast,"I wumbo, you wumbo, he she we wumbo.",29.79,58,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
579,Guilty Iron mace,I have no soul.,93.76,27,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
580,Weepy Dwarven sword,"Krusty Krab Pizza, it's the pizza for you and meeeeee!",76.57,35,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
581,Yearning Ebony bow,"Two words, SpongeBob. Na. Chos.",11.76,48,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
582,Gracious Porter,NO! This is Patrick!,56.48,42,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
583,Reserved Gauldur blackbow,It's just a cruel reminder that I'm single and likely to remain that way forever.,40.13,87,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
584,Sincere Shortbow,It's just a cruel reminder that I'm single and likely to remain that way forever.,56.04,77,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
585,Repulsed Longbow,Once upon a time there was an ugly barnacle. He was so ugly that everyone died. The end!,59.95,72,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
586,Tearful Boomerang,"Krusty Krab Pizza, it's the pizza for you and meeeeee!",13.44,14,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
587,Composed Pike,I knew I shouldn't have gotten out of bed today.,81.27,4,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
588,Vibrant Flail,Wake me up when I care.,53.44,2,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
589,Nasty Pasta and beans,"Goodbye everyone, I'll remember you all in therapy.",12.15,94,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
590,Buoyant Vegetable beer,Can I be excused for the rest of my life?,98.55,86,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
591,Uncomfortable Greatclub,I'm ready! I'm ready!,88.03,76,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
592,Offended Kimchi refrigerator,"Ravioli, ravioli. Give me the formuoli.",11.23,35,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
593,Pleased Sump pump,Did you smell it? That smell. A kind of smelly smell. The smelly smell that smells...smelly.,90.52,49,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
594,Pressured Flail,Look at all the hip young people eating sal-ads.,46.12,60,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
595,Greedy Belgian and french ale,I knew I shouldn't have gotten out of bed today.,37.28,81,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
596,Unsure Blades sword,The best time to wear a striped sweater is all the time.,94.04,2,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
597,Misunderstood Scotch eggs,"Ravioli, ravioli. Give me the formuoli.",89.91,90,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
598,Moody Shortbow,The inner machinations of my mind are an enigma.,16.61,8,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
599,Openminded Amber hybrid beer,I knew I shouldn't have gotten out of bed today.,96.67,54,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
600,Bitter Risotto with seafood,The inner machinations of my mind are an enigma.,65.87,52,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
601,Joyous German wheat and rye beer,Is mayonnaise an instrument?,67.97,8,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
602,Jocular Sling,Did you smell it? That smell. A kind of smelly smell. The smelly smell that smells...smelly.,58.65,50,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
603,Weary Scimitar,"Krusty Krab Pizza, it's the pizza for you and meeeeee!",93.77,96,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
604,Ecstatic Ceiling fan,NO! This is Patrick!,17.73,57,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
605,Euphoric Water cooker,The best time to wear a striped sweater is all the time.,85.72,63,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
606,Willing Honed ancient nord greatsword,Did you smell it? That smell. A kind of smelly smell. The smelly smell that smells...smelly.,53.81,30,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
607,Joyful English pale ale,"I wumbo, you wumbo, he she we wumbo.",89.07,99,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
608,Nonchalant English pale ale,All I know is fine dining and breathing.,17.38,74,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
609,Bewildered Back boiler,I knew I shouldn't have gotten out of bed today.,57.49,50,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
610,Guarded English pale ale,I'm ready! I'm ready!,56.38,2,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
611,Jocular Blowgun,"Two words, SpongeBob. Na. Chos.",76.53,17,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
612,Petty Elven warhammer,But it's my only night to be fancy!,82.62,83,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
613,Stressed Skyforge steel greatsword,Look at all the hip young people eating sal-ads.,67.84,77,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
614,Helpless Blowgun,Is mayonnaise an instrument?,47.69,55,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
615,Irrational Maul,It's just a cruel reminder that I'm single and likely to remain that way forever.,84.83,59,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
616,Agreeable Ebony warhammer,"Krusty Krab Pizza, it's the pizza for you and meeeeee!",48.29,21,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
617,Confident Scottish and irish ale,Once upon a time there was an ugly barnacle. He was so ugly that everyone died. The end!,84.67,20,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
618,Glum Washing machine,I can't see my forehead!,86.23,1,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
619,Troubled Sling,It's just a cruel reminder that I'm single and likely to remain that way forever.,30.45,62,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
620,Silly Paper shredder,I might as well sleep for 100 years or so.,46.92,12,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
621,Willful Salmon nigiri,Is mayonnaise an instrument?,58.52,20,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
622,Melodramatic Tie press,I'm ugly and I'm proud!,74.89,100,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
623,Funny Water cooker,Is mayonnaise an instrument?,28.38,21,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
624,Weary Sling,But it's my only night to be fancy!,29.01,55,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
625,Undecided Crossbow,I have no soul.,88.39,23,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
626,Meek Ceremonial sword,"Goodbye everyone, I'll remember you all in therapy.",62.82,97,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
627,Willful English brown ale,It's just a cruel reminder that I'm single and likely to remain that way forever.,31.86,75,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
628,Annoyed Sling,Is mayonnaise an instrument?,36.71,42,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
629,Amused Som tam,All I know is fine dining and breathing.,12.77,45,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
630,Safe Greatclub,"If you believe in yourself, with a tiny pinch of magic all your dreams can come true!",22.78,78,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
631,Playful Ebony war axe,Can I be excused for the rest of my life?,58.62,48,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
632,Kind Dwarven warhammer,Can I be excused for the rest of my life?,99.94,58,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
633,Depressed Sour ale,I'm ready! I'm ready!,50.63,19,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
634,Weak Akaviri sword dg,NO! This is Patrick!,35.95,82,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
635,Wasted Daedric war axe,Is mayonnaise an instrument?,38.71,87,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
636,Glad European amber lager,I'm ugly and I'm proud!,90.96,6,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
637,Whiny Amber hybrid beer,It's just a cruel reminder that I'm single and likely to remain that way forever.,52.05,21,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
638,Moved Crossbow,"If you believe in yourself, with a tiny pinch of magic all your dreams can come true!",52.83,42,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
639,Ashamed Glaive,The inner machinations of my mind are an enigma.,10.99,30,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
640,Torn German wheat and rye beer,"I wumbo, you wumbo, he she we wumbo.",71.81,3,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
641,Irritable Blades sword,I might as well sleep for 100 years or so.,96.81,96,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
642,Weepy Blowgun,But it's my only night to be fancy!,10.43,51,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
643,Mean Net,Once upon a time there was an ugly barnacle. He was so ugly that everyone died. The end!,35.71,19,2012-03-27 14:54:01 UTC,2012-03-27 14:54:01 UTC
644,Tolerant Glaive,It's just a cruel reminder that I'm single and likely to remain that way forever.,65.55,84,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
645,Unruffled Trident,I'm ready! I'm ready!,68.25,25,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
646,Capable Exhaust hood,Is mayonnaise an instrument?,92.79,4,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
647,Joyous Chicken milanese,I'm ready! I'm ready!,56.69,9,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
648,Yielding Chicken fajitas,I have no soul.,65.26,64,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
649,Grief-stricken German wheat and rye beer,I knew I shouldn't have gotten out of bed today.,21.43,31,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
650,Sarcastic Light lager,I'm ready! I'm ready!,94.44,95,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
651,Ignorant Blender,"Krusty Krab Pizza, it's the pizza for you and meeeeee!",27.62,3,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
652,Fulfilled Light hybrid beer,Did you smell it? That smell. A kind of smelly smell. The smelly smell that smells...smelly.,71.35,98,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
653,Victorious Nightingale bow,"Goodbye everyone, I'll remember you all in therapy.",87.15,97,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
654,Silly California maki,NO! This is Patrick!,46.81,93,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
655,Useful Risotto with seafood,The inner machinations of my mind are an enigma.,32.71,72,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
656,Lethargic Fan heater,Did you smell it? That smell. A kind of smelly smell. The smelly smell that smells...smelly.,64.63,14,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
657,Powerless Stalhrim greatsword dr,Once upon a time there was an ugly barnacle. He was so ugly that everyone died. The end!,16.23,6,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
658,Wary Elven sword,I might as well sleep for 100 years or so.,94.62,85,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
659,Carefree Chicken milanese,"If you believe in yourself, with a tiny pinch of magic all your dreams can come true!",93.56,26,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
660,Considerate Daedric dagger,Wake me up when I care.,57.93,63,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
661,Capable Arepas,I knew I shouldn't have gotten out of bed today.,14.73,22,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
662,Uptight Clothes dryer,"Two words, SpongeBob. Na. Chos.",47.68,7,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
663,Outraged Balgruuf's greatsword,Once upon a time there was an ugly barnacle. He was so ugly that everyone died. The end!,20.03,27,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
664,Disinterested Evaporative cooler,The best time to wear a striped sweater is all the time.,98.36,4,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
665,Cranky Shortbow,NO! This is Patrick!,24.96,32,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
666,Tender Sling,All I know is fine dining and breathing.,50.15,33,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
667,Manic Light hybrid beer,All I know is fine dining and breathing.,46.57,26,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
668,Careful Back boiler,Once upon a time there was an ugly barnacle. He was so ugly that everyone died. The end!,87.88,88,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
669,Grumpy Stout,Is mayonnaise an instrument?,13.86,28,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
670,Hurt Maul,Look at all the hip young people eating sal-ads.,52.81,88,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
671,Cranky Dark lager,Did you smell it? That smell. A kind of smelly smell. The smelly smell that smells...smelly.,12.18,3,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
672,Composed Dragonbone mace dg,Is mayonnaise an instrument?,60.15,11,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
673,Hesitant Icebox,"I wumbo, you wumbo, he she we wumbo.",57.09,88,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
674,Disgusted Souvlaki,I might as well sleep for 100 years or so.,38.25,46,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
675,Needy Sling,Can I be excused for the rest of my life?,32.68,88,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
676,Inquisitive Patio heater,Wake me up when I care.,82.58,37,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
677,Aggressive Trident,The inner machinations of my mind are an enigma.,82.35,97,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
678,Grumpy Dwarven battleaxe,"If you believe in yourself, with a tiny pinch of magic all your dreams can come true!",23.73,15,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
679,Disengaged Drawer dishwasher,The best time to wear a striped sweater is all the time.,16.78,44,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
680,Peeved Halberd,Once upon a time there was an ugly barnacle. He was so ugly that everyone died. The end!,77.33,7,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
681,Defiant Shortsword,"Two words, SpongeBob. Na. Chos.",63.99,3,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
682,Charitable Teriyaki chicken donburi,"I wumbo, you wumbo, he she we wumbo.",13.32,4,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
683,Miserable European amber lager,Is mayonnaise an instrument?,22.41,26,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
684,Rejuvenated Kahvozein's fang,But it's my only night to be fancy!,64.93,13,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
685,Lackluster Sour ale,"Two words, SpongeBob. Na. Chos.",68.02,46,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
686,Mean Champion's cudgel dr,All I know is fine dining and breathing.,63.14,90,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
687,Whiny Battleaxe,"Ravioli, ravioli. Give me the formuoli.",36.77,79,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
688,Miserable Belgian strong ale,"Goodbye everyone, I'll remember you all in therapy.",91.34,90,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
689,Inspiring Handaxe,It's just a cruel reminder that I'm single and likely to remain that way forever.,15.05,8,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
690,Flustered Oven,I might as well sleep for 100 years or so.,84.51,43,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
691,Repulsed Steel battleaxe,NO! This is Patrick!,30.86,53,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
692,Overstimulated Dish draining closet,I might as well sleep for 100 years or so.,82.73,9,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
693,Playful Nightingale blade,But it's my only night to be fancy!,25.08,8,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
694,Isolated Crossbow,The inner machinations of my mind are an enigma.,32.76,73,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
695,Jaded Sour ale,Wake me up when I care.,18.59,95,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
696,Envious Pike,Did you smell it? That smell. A kind of smelly smell. The smelly smell that smells...smelly.,80.09,66,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
697,Exuberant Dwarven black bow of fate dr,"Krusty Krab Pizza, it's the pizza for you and meeeeee!",44.49,57,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
698,Manipulated Can opener,Look at all the hip young people eating sal-ads.,55.36,3,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
699,Neglected Pasta and beans,"I wumbo, you wumbo, he she we wumbo.",36.51,62,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
700,Composed Risotto with seafood,I can't see my forehead!,70.03,50,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
701,Volatile Trident,I knew I shouldn't have gotten out of bed today.,48.96,26,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
702,Flustered Box mangle,But it's my only night to be fancy!,59.44,88,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
703,Quiet Stalhrim mace dr,Did you smell it? That smell. A kind of smelly smell. The smelly smell that smells...smelly.,29.93,40,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
704,Weak Shortsword,I might as well sleep for 100 years or so.,33.46,87,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
705,Mad Dwarven warhammer,"Goodbye everyone, I'll remember you all in therapy.",85.33,92,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
706,Torn French fries with sausages,But it's my only night to be fancy!,82.57,79,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
707,Grateful Attic fan,I can't see my forehead!,74.65,76,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
708,Uptight Water cooker,I might as well sleep for 100 years or so.,37.06,12,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
709,Grumpy Futon dryer,"Goodbye everyone, I'll remember you all in therapy.",60.78,56,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
710,Reassured Battleaxe,Did you smell it? That smell. A kind of smelly smell. The smelly smell that smells...smelly.,76.46,97,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
711,Sanguine Hair dryer,"Ravioli, ravioli. Give me the formuoli.",96.38,45,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
712,Forgiving Flail,"If you believe in yourself, with a tiny pinch of magic all your dreams can come true!",50.18,82,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
713,Unsure Club,"Krusty Krab Pizza, it's the pizza for you and meeeeee!",40.13,84,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
714,Melancholy Pierogi,I can't see my forehead!,92.83,2,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
715,Scared Elven sword,I'm ready! I'm ready!,76.83,50,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
716,Loving Oil heater,"Krusty Krab Pizza, it's the pizza for you and meeeeee!",19.65,94,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
717,Lonely Drawer dishwasher,Look at all the hip young people eating sal-ads.,43.22,5,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
718,Wasted Pasta carbonara,"Krusty Krab Pizza, it's the pizza for you and meeeeee!",86.94,22,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
719,Moved Dart,Wake me up when I care.,50.68,23,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
720,Nonchalant Sling,"Krusty Krab Pizza, it's the pizza for you and meeeeee!",22.27,25,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
721,Blue Glaive,"I wumbo, you wumbo, he she we wumbo.",75.47,100,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
722,Trusted Dragonbone sword dg,The best time to wear a striped sweater is all the time.,33.27,8,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
723,Touched Dragonbane,I knew I shouldn't have gotten out of bed today.,63.09,14,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
724,Peeved Dish draining closet,Did you smell it? That smell. A kind of smelly smell. The smelly smell that smells...smelly.,44.71,85,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
725,Disinterested Crossbow,I'm ready! I'm ready!,31.11,91,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
726,Buoyant Sling,"Ravioli, ravioli. Give me the formuoli.",99.28,72,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
727,Uncomfortable Chicken fajitas,"Ravioli, ravioli. Give me the formuoli.",24.79,97,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
728,Jaded Net,I can't see my forehead!,95.71,31,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
729,Panicked Sling,I might as well sleep for 100 years or so.,88.59,61,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
730,Rational Lance,Future!!!,55.27,98,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
731,Resentful Fruit beer,"If you believe in yourself, with a tiny pinch of magic all your dreams can come true!",54.75,4,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
732,Quirky Froki's bow,I have no soul.,33.17,44,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
733,Proud Crossbow,"I wumbo, you wumbo, he she we wumbo.",10.13,78,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
734,Marvelous Merican ale,Future!!!,39.82,77,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
735,Cautious Scottish and irish ale,"Two words, SpongeBob. Na. Chos.",59.04,68,2012-03-27 14:54:02 UTC,2012-03-27 14:54:02 UTC
